revisions,channels,sample,elapsed_ns,alloc_calls,alloc_bytes
16,1,0,70875,52,8568
16,1,1,28250,52,8568
16,1,2,26000,52,8568
16,1,3,16208,52,8568
16,1,4,16417,52,8568
16,1,5,14750,52,8568
16,1,6,16042,52,8568
16,1,7,14625,52,8568
16,1,8,17042,52,8568
16,1,9,25542,52,8568
16,1,10,21666,52,8568
16,1,11,18167,52,8568
16,1,12,17583,52,8568
16,1,13,17667,52,8568
16,1,14,14916,52,8568
16,1,15,19208,52,8568
16,1,16,44083,52,8568
16,1,17,18166,52,8568
16,1,18,13166,52,8568
16,1,19,13333,52,8568
16,1,20,15500,52,8568
16,1,21,10917,52,8568
16,1,22,11375,52,8568
16,1,23,13083,52,8568
16,1,24,10250,52,8568
16,1,25,15583,52,8568
16,1,26,12167,52,8568
16,1,27,12167,52,8568
16,1,28,9291,52,8568
16,1,29,11500,52,8568
16,1,30,36416,52,8568
16,8,0,53875,395,64848
16,8,1,35792,395,64848
16,8,2,42375,395,64848
16,8,3,42208,395,64848
16,8,4,41958,395,64848
16,8,5,38833,395,64848
16,8,6,36584,395,64848
16,8,7,40917,395,64848
16,8,8,36042,395,64848
16,8,9,45125,395,64848
16,8,10,39917,395,64848
16,8,11,43917,395,64848
16,8,12,46042,395,64848
16,8,13,63084,395,64848
16,8,14,36750,395,64848
16,8,15,40375,395,64848
16,8,16,39292,395,64848
16,8,17,47542,395,64848
16,8,18,47458,395,64848
16,8,19,39333,395,64848
16,8,20,38292,395,64848
16,8,21,35458,395,64848
16,8,22,38541,395,64848
16,8,23,38459,395,64848
16,8,24,29917,395,64848
16,8,25,38500,395,64848
16,8,26,39875,395,64848
16,8,27,42250,395,64848
16,8,28,41083,395,64848
16,8,29,37791,395,64848
16,8,30,43167,395,64848
128,1,0,53750,58,22056
128,1,1,16917,58,22056
128,1,2,15208,58,22056
128,1,3,18417,58,22056
128,1,4,19042,58,22056
128,1,5,16041,58,22056
128,1,6,43750,58,22056
128,1,7,23708,58,22056
128,1,8,17833,58,22056
128,1,9,36667,58,22056
128,1,10,20083,58,22056
128,1,11,24708,58,22056
128,1,12,15625,58,22056
128,1,13,15834,58,22056
128,1,14,20166,58,22056
128,1,15,15500,58,22056
128,1,16,16166,58,22056
128,1,17,16083,58,22056
128,1,18,22667,58,22056
128,1,19,27000,58,22056
128,1,20,27334,58,22056
128,1,21,20167,58,22056
128,1,22,22417,58,22056
128,1,23,17833,58,22056
128,1,24,20875,58,22056
128,1,25,16209,58,22056
128,1,26,19208,58,22056
128,1,27,22667,58,22056
128,1,28,20208,58,22056
128,1,29,15167,58,22056
128,1,30,21583,58,22056
128,8,0,170084,443,172752
128,8,1,130042,443,172752
128,8,2,215958,443,172752
128,8,3,338000,443,172752
128,8,4,240417,443,172752
128,8,5,295458,443,172752
128,8,6,245292,443,172752
128,8,7,268708,443,172752
128,8,8,260166,443,172752
128,8,9,253333,443,172752
128,8,10,267459,443,172752
128,8,11,267750,443,172752
128,8,12,308583,443,172752
128,8,13,260750,443,172752
128,8,14,260916,443,172752
128,8,15,196250,443,172752
128,8,16,194625,443,172752
128,8,17,183458,443,172752
128,8,18,205209,443,172752
128,8,19,206541,443,172752
128,8,20,187917,443,172752
128,8,21,216958,443,172752
128,8,22,194167,443,172752
128,8,23,152208,443,172752
128,8,24,230750,443,172752
128,8,25,181416,443,172752
128,8,26,320833,443,172752
128,8,27,193459,443,172752
128,8,28,203209,443,172752
128,8,29,183459,443,172752
128,8,30,177041,443,172752
1024,1,0,110792,64,129624
1024,1,1,91875,64,129624
1024,1,2,93167,64,129624
1024,1,3,91541,64,129624
1024,1,4,105250,64,129624
1024,1,5,94625,64,129624
1024,1,6,100417,64,129624
1024,1,7,94292,64,129624
1024,1,8,100833,64,129624
1024,1,9,104084,64,129624
1024,1,10,93750,64,129624
1024,1,11,92208,64,129624
1024,1,12,93250,64,129624
1024,1,13,110916,64,129624
1024,1,14,102958,64,129624
1024,1,15,123417,64,129624
1024,1,16,88958,64,129624
1024,1,17,86916,64,129624
1024,1,18,93167,64,129624
1024,1,19,102375,64,129624
1024,1,20,106250,64,129624
1024,1,21,95834,64,129624
1024,1,22,104667,64,129624
1024,1,23,93583,64,129624
1024,1,24,98792,64,129624
1024,1,25,103875,64,129624
1024,1,26,92209,64,129624
1024,1,27,95750,64,129624
1024,1,28,94042,64,129624
1024,1,29,104875,64,129624
1024,1,30,88250,64,129624
1024,8,0,1154917,491,1033296
1024,8,1,1004375,491,1033296
1024,8,2,976500,491,1033296
1024,8,3,1057875,491,1033296
1024,8,4,1017917,491,1033296
1024,8,5,1018041,491,1033296
1024,8,6,1054791,491,1033296
1024,8,7,921542,491,1033296
1024,8,8,957041,491,1033296
1024,8,9,1061625,491,1033296
1024,8,10,954959,491,1033296
1024,8,11,1061166,491,1033296
1024,8,12,966542,491,1033296
1024,8,13,1001125,491,1033296
1024,8,14,1007208,491,1033296
1024,8,15,989667,491,1033296
1024,8,16,1016459,491,1033296
1024,8,17,935125,491,1033296
1024,8,18,1054083,491,1033296
1024,8,19,977417,491,1033296
1024,8,20,1008125,491,1033296
1024,8,21,966625,491,1033296
1024,8,22,1029666,491,1033296
1024,8,23,991667,491,1033296
1024,8,24,994250,491,1033296
1024,8,25,927833,491,1033296
1024,8,26,958750,491,1033296
1024,8,27,988250,491,1033296
1024,8,28,922208,491,1033296
1024,8,29,1069125,491,1033296
1024,8,30,950416,491,1033296
