revisions,channels,sample,elapsed_ns,alloc_calls,alloc_bytes
16,1,0,23750,52,8568
16,1,1,16250,52,8568
16,1,2,13000,52,8568
16,1,3,18667,52,8568
16,1,4,18583,52,8568
16,1,5,10292,52,8568
16,1,6,19000,52,8568
16,1,7,10500,52,8568
16,1,8,18458,52,8568
16,1,9,12458,52,8568
16,1,10,12084,52,8568
16,1,11,17209,52,8568
16,1,12,12416,52,8568
16,1,13,11708,52,8568
16,1,14,16458,52,8568
16,1,15,11875,52,8568
16,1,16,14125,52,8568
16,1,17,12875,52,8568
16,1,18,14250,52,8568
16,1,19,12458,52,8568
16,1,20,13666,52,8568
16,1,21,12958,52,8568
16,1,22,13583,52,8568
16,1,23,13708,52,8568
16,1,24,20375,52,8568
16,1,25,11667,52,8568
16,1,26,10833,52,8568
16,1,27,15833,52,8568
16,1,28,11208,52,8568
16,1,29,12625,52,8568
16,1,30,11000,52,8568
16,8,0,45916,395,64848
16,8,1,45625,395,64848
16,8,2,44958,395,64848
16,8,3,42833,395,64848
16,8,4,39292,395,64848
16,8,5,42333,395,64848
16,8,6,40917,395,64848
16,8,7,42958,395,64848
16,8,8,43250,395,64848
16,8,9,54292,395,64848
16,8,10,37666,395,64848
16,8,11,50250,395,64848
16,8,12,43750,395,64848
16,8,13,43333,395,64848
16,8,14,40166,395,64848
16,8,15,52000,395,64848
16,8,16,96667,395,64848
16,8,17,41917,395,64848
16,8,18,47167,395,64848
16,8,19,39000,395,64848
16,8,20,40125,395,64848
16,8,21,43917,395,64848
16,8,22,70584,395,64848
16,8,23,35333,395,64848
16,8,24,42500,395,64848
16,8,25,71333,395,64848
16,8,26,39917,395,64848
16,8,27,48459,395,64848
16,8,28,44959,395,64848
16,8,29,44250,395,64848
16,8,30,46250,395,64848
128,1,0,16417,58,22056
128,1,1,14458,58,22056
128,1,2,18166,58,22056
128,1,3,16333,58,22056
128,1,4,16250,58,22056
128,1,5,20541,58,22056
128,1,6,15958,58,22056
128,1,7,15333,58,22056
128,1,8,25583,58,22056
128,1,9,17333,58,22056
128,1,10,16666,58,22056
128,1,11,19167,58,22056
128,1,12,22292,58,22056
128,1,13,22333,58,22056
128,1,14,15458,58,22056
128,1,15,14958,58,22056
128,1,16,20708,58,22056
128,1,17,21167,58,22056
128,1,18,25084,58,22056
128,1,19,21709,58,22056
128,1,20,18500,58,22056
128,1,21,14875,58,22056
128,1,22,13000,58,22056
128,1,23,17375,58,22056
128,1,24,19583,58,22056
128,1,25,24958,58,22056
128,1,26,21875,58,22056
128,1,27,20291,58,22056
128,1,28,23458,58,22056
128,1,29,18041,58,22056
128,1,30,24750,58,22056
128,8,0,116458,443,172752
128,8,1,121084,443,172752
128,8,2,136000,443,172752
128,8,3,123208,443,172752
128,8,4,107041,443,172752
128,8,5,103083,443,172752
128,8,6,129125,443,172752
128,8,7,148042,443,172752
128,8,8,121458,443,172752
128,8,9,117750,443,172752
128,8,10,116834,443,172752
128,8,11,102833,443,172752
128,8,12,109125,443,172752
128,8,13,102000,443,172752
128,8,14,147459,443,172752
128,8,15,99959,443,172752
128,8,16,106250,443,172752
128,8,17,103792,443,172752
128,8,18,110500,443,172752
128,8,19,113542,443,172752
128,8,20,97791,443,172752
128,8,21,99917,443,172752
128,8,22,114375,443,172752
128,8,23,114583,443,172752
128,8,24,106833,443,172752
128,8,25,91125,443,172752
128,8,26,229000,443,172752
128,8,27,205083,443,172752
128,8,28,134042,443,172752
128,8,29,140250,443,172752
128,8,30,151208,443,172752
1024,1,0,92125,64,129624
1024,1,1,109042,64,129624
1024,1,2,98709,64,129624
1024,1,3,98583,64,129624
1024,1,4,90250,64,129624
1024,1,5,90541,64,129624
1024,1,6,88791,64,129624
1024,1,7,95750,64,129624
1024,1,8,88416,64,129624
1024,1,9,98791,64,129624
1024,1,10,106917,64,129624
1024,1,11,90666,64,129624
1024,1,12,105625,64,129624
1024,1,13,98042,64,129624
1024,1,14,102000,64,129624
1024,1,15,98625,64,129624
1024,1,16,91959,64,129624
1024,1,17,101916,64,129624
1024,1,18,107750,64,129624
1024,1,19,89875,64,129624
1024,1,20,94875,64,129624
1024,1,21,100625,64,129624
1024,1,22,96375,64,129624
1024,1,23,92667,64,129624
1024,1,24,91834,64,129624
1024,1,25,87500,64,129624
1024,1,26,94125,64,129624
1024,1,27,94292,64,129624
1024,1,28,88292,64,129624
1024,1,29,97250,64,129624
1024,1,30,87584,64,129624
1024,8,0,939542,491,1033296
1024,8,1,975750,491,1033296
1024,8,2,1024500,491,1033296
1024,8,3,995083,491,1033296
1024,8,4,985459,491,1033296
1024,8,5,1043583,491,1033296
1024,8,6,1154833,491,1033296
1024,8,7,1010666,491,1033296
1024,8,8,947583,491,1033296
1024,8,9,1279459,491,1033296
1024,8,10,2545583,491,1033296
1024,8,11,1267458,491,1033296
1024,8,12,2279250,491,1033296
1024,8,13,2629458,491,1033296
1024,8,14,1469334,491,1033296
1024,8,15,1968750,491,1033296
1024,8,16,1850958,491,1033296
1024,8,17,1598833,491,1033296
1024,8,18,2084541,491,1033296
1024,8,19,1178625,491,1033296
1024,8,20,1168000,491,1033296
1024,8,21,1734250,491,1033296
1024,8,22,3364167,491,1033296
1024,8,23,2026625,491,1033296
1024,8,24,1264417,491,1033296
1024,8,25,2521834,491,1033296
1024,8,26,1937459,491,1033296
1024,8,27,991750,491,1033296
1024,8,28,1302292,491,1033296
1024,8,29,2626416,491,1033296
1024,8,30,1124125,491,1033296
