revisions,channels,sample,elapsed_ns,alloc_calls,alloc_bytes
16,1,0,22125,45,6968
16,1,1,12708,45,6968
16,1,2,11917,45,6968
16,1,3,10625,45,6968
16,1,4,17709,45,6968
16,1,5,12125,45,6968
16,1,6,14667,45,6968
16,1,7,12083,45,6968
16,1,8,16000,45,6968
16,1,9,11292,45,6968
16,1,10,11625,45,6968
16,1,11,13583,45,6968
16,1,12,11125,45,6968
16,1,13,11292,45,6968
16,1,14,10834,45,6968
16,1,15,10958,45,6968
16,1,16,10833,45,6968
16,1,17,11250,45,6968
16,1,18,9458,45,6968
16,1,19,10250,45,6968
16,1,20,10125,45,6968
16,1,21,10542,45,6968
16,1,22,7833,45,6968
16,1,23,12250,45,6968
16,1,24,7625,45,6968
16,1,25,10458,45,6968
16,1,26,7375,45,6968
16,1,27,14958,45,6968
16,1,28,13875,45,6968
16,1,29,12833,45,6968
16,1,30,13167,45,6968
16,8,0,33084,339,52048
16,8,1,33875,339,52048
16,8,2,30750,339,52048
16,8,3,29625,339,52048
16,8,4,30666,339,52048
16,8,5,31792,339,52048
16,8,6,33333,339,52048
16,8,7,40333,339,52048
16,8,8,33458,339,52048
16,8,9,28334,339,52048
16,8,10,43833,339,52048
16,8,11,31500,339,52048
16,8,12,33167,339,52048
16,8,13,30125,339,52048
16,8,14,26250,339,52048
16,8,15,29042,339,52048
16,8,16,27375,339,52048
16,8,17,29250,339,52048
16,8,18,36959,339,52048
16,8,19,32083,339,52048
16,8,20,31250,339,52048
16,8,21,34500,339,52048
16,8,22,37958,339,52048
16,8,23,28833,339,52048
16,8,24,30625,339,52048
16,8,25,31584,339,52048
16,8,26,33666,339,52048
16,8,27,23375,339,52048
16,8,28,31334,339,52048
16,8,29,31208,339,52048
16,8,30,32083,339,52048
128,1,0,12500,45,8760
128,1,1,11708,45,8760
128,1,2,9625,45,8760
128,1,3,11375,45,8760
128,1,4,11375,45,8760
128,1,5,11083,45,8760
128,1,6,14166,45,8760
128,1,7,9709,45,8760
128,1,8,9708,45,8760
128,1,9,11250,45,8760
128,1,10,11750,45,8760
128,1,11,14459,45,8760
128,1,12,10167,45,8760
128,1,13,11417,45,8760
128,1,14,12333,45,8760
128,1,15,11000,45,8760
128,1,16,10500,45,8760
128,1,17,9541,45,8760
128,1,18,10000,45,8760
128,1,19,12792,45,8760
128,1,20,10541,45,8760
128,1,21,11125,45,8760
128,1,22,9833,45,8760
128,1,23,10958,45,8760
128,1,24,9833,45,8760
128,1,25,9541,45,8760
128,1,26,9667,45,8760
128,1,27,9792,45,8760
128,1,28,11250,45,8760
128,1,29,9458,45,8760
128,1,30,9625,45,8760
128,8,0,37166,339,66384
128,8,1,37458,339,66384
128,8,2,29125,339,66384
128,8,3,37500,339,66384
128,8,4,36625,339,66384
128,8,5,35083,339,66384
128,8,6,33292,339,66384
128,8,7,31250,339,66384
128,8,8,36709,339,66384
128,8,9,42334,339,66384
128,8,10,34041,339,66384
128,8,11,33834,339,66384
128,8,12,42292,339,66384
128,8,13,32875,339,66384
128,8,14,31500,339,66384
128,8,15,30416,339,66384
128,8,16,31042,339,66384
128,8,17,31250,339,66384
128,8,18,35292,339,66384
128,8,19,30584,339,66384
128,8,20,32666,339,66384
128,8,21,33625,339,66384
128,8,22,31625,339,66384
128,8,23,31167,339,66384
128,8,24,32209,339,66384
128,8,25,25958,339,66384
128,8,26,34917,339,66384
128,8,27,36083,339,66384
128,8,28,30916,339,66384
128,8,29,37708,339,66384
128,8,30,36250,339,66384
1024,1,0,19834,45,23096
1024,1,1,11792,45,23096
1024,1,2,15583,45,23096
1024,1,3,10000,45,23096
1024,1,4,11791,45,23096
1024,1,5,11417,45,23096
1024,1,6,15000,45,23096
1024,1,7,12125,45,23096
1024,1,8,15458,45,23096
1024,1,9,16417,45,23096
1024,1,10,14625,45,23096
1024,1,11,11417,45,23096
1024,1,12,12083,45,23096
1024,1,13,10833,45,23096
1024,1,14,11166,45,23096
1024,1,15,11125,45,23096
1024,1,16,11667,45,23096
1024,1,17,12917,45,23096
1024,1,18,11417,45,23096
1024,1,19,14667,45,23096
1024,1,20,12042,45,23096
1024,1,21,11875,45,23096
1024,1,22,11250,45,23096
1024,1,23,10917,45,23096
1024,1,24,13125,45,23096
1024,1,25,15875,45,23096
1024,1,26,11292,45,23096
1024,1,27,16667,45,23096
1024,1,28,13375,45,23096
1024,1,29,15375,45,23096
1024,1,30,12000,45,23096
1024,8,0,54041,339,181072
1024,8,1,43875,339,181072
1024,8,2,45958,339,181072
1024,8,3,42417,339,181072
1024,8,4,41750,339,181072
1024,8,5,42042,339,181072
1024,8,6,39500,339,181072
1024,8,7,34042,339,181072
1024,8,8,44375,339,181072
1024,8,9,39500,339,181072
1024,8,10,40833,339,181072
1024,8,11,33292,339,181072
1024,8,12,47250,339,181072
1024,8,13,35250,339,181072
1024,8,14,47625,339,181072
1024,8,15,41250,339,181072
1024,8,16,36542,339,181072
1024,8,17,36625,339,181072
1024,8,18,36292,339,181072
1024,8,19,40917,339,181072
1024,8,20,32250,339,181072
1024,8,21,43667,339,181072
1024,8,22,35917,339,181072
1024,8,23,44500,339,181072
1024,8,24,39667,339,181072
1024,8,25,40250,339,181072
1024,8,26,43625,339,181072
1024,8,27,37083,339,181072
1024,8,28,46792,339,181072
1024,8,29,36583,339,181072
1024,8,30,39208,339,181072
