revisions,channels,sample,elapsed_ns,alloc_calls,alloc_bytes
16,1,0,34417,52,8568
16,1,1,13209,52,8568
16,1,2,15500,52,8568
16,1,3,14666,52,8568
16,1,4,11625,52,8568
16,1,5,21208,52,8568
16,1,6,11125,52,8568
16,1,7,12917,52,8568
16,1,8,25000,52,8568
16,1,9,14667,52,8568
16,1,10,12750,52,8568
16,1,11,10833,52,8568
16,1,12,19500,52,8568
16,1,13,14167,52,8568
16,1,14,13125,52,8568
16,1,15,13292,52,8568
16,1,16,14041,52,8568
16,1,17,45459,52,8568
16,1,18,22042,52,8568
16,1,19,13583,52,8568
16,1,20,11917,52,8568
16,1,21,9666,52,8568
16,1,22,18833,52,8568
16,1,23,11125,52,8568
16,1,24,10333,52,8568
16,1,25,12917,52,8568
16,1,26,26750,52,8568
16,1,27,11959,52,8568
16,1,28,14917,52,8568
16,1,29,10667,52,8568
16,1,30,12875,52,8568
16,8,0,43583,395,64848
16,8,1,42916,395,64848
16,8,2,40334,395,64848
16,8,3,43167,395,64848
16,8,4,39375,395,64848
16,8,5,38916,395,64848
16,8,6,47833,395,64848
16,8,7,38917,395,64848
16,8,8,36708,395,64848
16,8,9,43375,395,64848
16,8,10,38167,395,64848
16,8,11,41459,395,64848
16,8,12,36875,395,64848
16,8,13,44917,395,64848
16,8,14,51250,395,64848
16,8,15,37125,395,64848
16,8,16,43458,395,64848
16,8,17,57000,395,64848
16,8,18,42541,395,64848
16,8,19,39291,395,64848
16,8,20,41708,395,64848
16,8,21,50125,395,64848
16,8,22,49167,395,64848
16,8,23,41041,395,64848
16,8,24,44542,395,64848
16,8,25,42250,395,64848
16,8,26,41667,395,64848
16,8,27,42916,395,64848
16,8,28,52583,395,64848
16,8,29,41583,395,64848
16,8,30,35375,395,64848
128,1,0,18625,58,22056
128,1,1,18292,58,22056
128,1,2,14708,58,22056
128,1,3,16875,58,22056
128,1,4,14958,58,22056
128,1,5,22083,58,22056
128,1,6,23458,58,22056
128,1,7,24833,58,22056
128,1,8,23792,58,22056
128,1,9,17000,58,22056
128,1,10,17750,58,22056
128,1,11,20791,58,22056
128,1,12,17667,58,22056
128,1,13,20208,58,22056
128,1,14,18208,58,22056
128,1,15,30500,58,22056
128,1,16,16500,58,22056
128,1,17,19083,58,22056
128,1,18,20666,58,22056
128,1,19,18083,58,22056
128,1,20,26958,58,22056
128,1,21,17042,58,22056
128,1,22,21583,58,22056
128,1,23,14417,58,22056
128,1,24,16041,58,22056
128,1,25,22958,58,22056
128,1,26,22875,58,22056
128,1,27,14208,58,22056
128,1,28,24042,58,22056
128,1,29,22084,58,22056
128,1,30,22084,58,22056
128,8,0,152708,443,172752
128,8,1,108250,443,172752
128,8,2,120625,443,172752
128,8,3,118417,443,172752
128,8,4,130041,443,172752
128,8,5,108542,443,172752
128,8,6,123125,443,172752
128,8,7,101416,443,172752
128,8,8,129667,443,172752
128,8,9,100584,443,172752
128,8,10,120208,443,172752
128,8,11,107958,443,172752
128,8,12,102625,443,172752
128,8,13,118500,443,172752
128,8,14,103459,443,172752
128,8,15,101417,443,172752
128,8,16,96042,443,172752
128,8,17,103041,443,172752
128,8,18,100375,443,172752
128,8,19,109500,443,172752
128,8,20,108042,443,172752
128,8,21,118000,443,172752
128,8,22,101292,443,172752
128,8,23,109416,443,172752
128,8,24,107459,443,172752
128,8,25,99000,443,172752
128,8,26,103500,443,172752
128,8,27,142208,443,172752
128,8,28,361250,443,172752
128,8,29,123917,443,172752
128,8,30,171750,443,172752
1024,1,0,110708,64,129624
1024,1,1,106041,64,129624
1024,1,2,100833,64,129624
1024,1,3,89667,64,129624
1024,1,4,98375,64,129624
1024,1,5,114667,64,129624
1024,1,6,90125,64,129624
1024,1,7,92417,64,129624
1024,1,8,102416,64,129624
1024,1,9,93583,64,129624
1024,1,10,106667,64,129624
1024,1,11,138083,64,129624
1024,1,12,100042,64,129624
1024,1,13,99625,64,129624
1024,1,14,102084,64,129624
1024,1,15,97750,64,129624
1024,1,16,95125,64,129624
1024,1,17,99792,64,129624
1024,1,18,96917,64,129624
1024,1,19,106375,64,129624
1024,1,20,97041,64,129624
1024,1,21,96667,64,129624
1024,1,22,97583,64,129624
1024,1,23,95834,64,129624
1024,1,24,94208,64,129624
1024,1,25,96833,64,129624
1024,1,26,93542,64,129624
1024,1,27,103333,64,129624
1024,1,28,101083,64,129624
1024,1,29,101959,64,129624
1024,1,30,95750,64,129624
1024,8,0,1444209,491,1033296
1024,8,1,950541,491,1033296
1024,8,2,1006041,491,1033296
1024,8,3,943084,491,1033296
1024,8,4,1023750,491,1033296
1024,8,5,938250,491,1033296
1024,8,6,961000,491,1033296
1024,8,7,962917,491,1033296
1024,8,8,1486542,491,1033296
1024,8,9,1114416,491,1033296
1024,8,10,1044750,491,1033296
1024,8,11,949459,491,1033296
1024,8,12,920333,491,1033296
1024,8,13,931041,491,1033296
1024,8,14,1034875,491,1033296
1024,8,15,916833,491,1033296
1024,8,16,1078709,491,1033296
1024,8,17,974458,491,1033296
1024,8,18,1085542,491,1033296
1024,8,19,1205250,491,1033296
1024,8,20,939292,491,1033296
1024,8,21,951958,491,1033296
1024,8,22,1033166,491,1033296
1024,8,23,955792,491,1033296
1024,8,24,991166,491,1033296
1024,8,25,963541,491,1033296
1024,8,26,1024209,491,1033296
1024,8,27,996458,491,1033296
1024,8,28,938750,491,1033296
1024,8,29,1181125,491,1033296
1024,8,30,1025000,491,1033296
