revisions,channels,sample,elapsed_ns,alloc_calls,alloc_bytes
16,1,0,47750,45,6968
16,1,1,16041,45,6968
16,1,2,17208,45,6968
16,1,3,14208,45,6968
16,1,4,16709,45,6968
16,1,5,13666,45,6968
16,1,6,13250,45,6968
16,1,7,12083,45,6968
16,1,8,12583,45,6968
16,1,9,19333,45,6968
16,1,10,13750,45,6968
16,1,11,12250,45,6968
16,1,12,15250,45,6968
16,1,13,16083,45,6968
16,1,14,10875,45,6968
16,1,15,12292,45,6968
16,1,16,12333,45,6968
16,1,17,13667,45,6968
16,1,18,13708,45,6968
16,1,19,13417,45,6968
16,1,20,9667,45,6968
16,1,21,13709,45,6968
16,1,22,10667,45,6968
16,1,23,14834,45,6968
16,1,24,12833,45,6968
16,1,25,20916,45,6968
16,1,26,12375,45,6968
16,1,27,17542,45,6968
16,1,28,11083,45,6968
16,1,29,11708,45,6968
16,1,30,15833,45,6968
16,8,0,54583,339,52048
16,8,1,28417,339,52048
16,8,2,28500,339,52048
16,8,3,25584,339,52048
16,8,4,24666,339,52048
16,8,5,24833,339,52048
16,8,6,30333,339,52048
16,8,7,32125,339,52048
16,8,8,29584,339,52048
16,8,9,23417,339,52048
16,8,10,29375,339,52048
16,8,11,25833,339,52048
16,8,12,28125,339,52048
16,8,13,32042,339,52048
16,8,14,28125,339,52048
16,8,15,33000,339,52048
16,8,16,24416,339,52048
16,8,17,29166,339,52048
16,8,18,29959,339,52048
16,8,19,30541,339,52048
16,8,20,33458,339,52048
16,8,21,30000,339,52048
16,8,22,28292,339,52048
16,8,23,29292,339,52048
16,8,24,28750,339,52048
16,8,25,30166,339,52048
16,8,26,31458,339,52048
16,8,27,31834,339,52048
16,8,28,25583,339,52048
16,8,29,27541,339,52048
16,8,30,32875,339,52048
128,1,0,11667,45,8760
128,1,1,12041,45,8760
128,1,2,10500,45,8760
128,1,3,11000,45,8760
128,1,4,11208,45,8760
128,1,5,11083,45,8760
128,1,6,11166,45,8760
128,1,7,11292,45,8760
128,1,8,9625,45,8760
128,1,9,11583,45,8760
128,1,10,11750,45,8760
128,1,11,8208,45,8760
128,1,12,7708,45,8760
128,1,13,9125,45,8760
128,1,14,14333,45,8760
128,1,15,10500,45,8760
128,1,16,10375,45,8760
128,1,17,9708,45,8760
128,1,18,7834,45,8760
128,1,19,9375,45,8760
128,1,20,14125,45,8760
128,1,21,7292,45,8760
128,1,22,12625,45,8760
128,1,23,16167,45,8760
128,1,24,10500,45,8760
128,1,25,13500,45,8760
128,1,26,10500,45,8760
128,1,27,10625,45,8760
128,1,28,10042,45,8760
128,1,29,8500,45,8760
128,1,30,9625,45,8760
128,8,0,36125,339,66384
128,8,1,31750,339,66384
128,8,2,28417,339,66384
128,8,3,31000,339,66384
128,8,4,25208,339,66384
128,8,5,31083,339,66384
128,8,6,30791,339,66384
128,8,7,34792,339,66384
128,8,8,33250,339,66384
128,8,9,32042,339,66384
128,8,10,25083,339,66384
128,8,11,29792,339,66384
128,8,12,29583,339,66384
128,8,13,27250,339,66384
128,8,14,26958,339,66384
128,8,15,37666,339,66384
128,8,16,34833,339,66384
128,8,17,42916,339,66384
128,8,18,35959,339,66384
128,8,19,28292,339,66384
128,8,20,30792,339,66384
128,8,21,25959,339,66384
128,8,22,24291,339,66384
128,8,23,27625,339,66384
128,8,24,46458,339,66384
128,8,25,30375,339,66384
128,8,26,37334,339,66384
128,8,27,33833,339,66384
128,8,28,33333,339,66384
128,8,29,28125,339,66384
128,8,30,31125,339,66384
1024,1,0,16125,45,23096
1024,1,1,10958,45,23096
1024,1,2,17542,45,23096
1024,1,3,12833,45,23096
1024,1,4,14958,45,23096
1024,1,5,17250,45,23096
1024,1,6,12334,45,23096
1024,1,7,11709,45,23096
1024,1,8,11250,45,23096
1024,1,9,11041,45,23096
1024,1,10,11208,45,23096
1024,1,11,22083,45,23096
1024,1,12,16417,45,23096
1024,1,13,18500,45,23096
1024,1,14,15417,45,23096
1024,1,15,11334,45,23096
1024,1,16,11250,45,23096
1024,1,17,11375,45,23096
1024,1,18,14167,45,23096
1024,1,19,14459,45,23096
1024,1,20,14875,45,23096
1024,1,21,15041,45,23096
1024,1,22,12584,45,23096
1024,1,23,17042,45,23096
1024,1,24,11167,45,23096
1024,1,25,12125,45,23096
1024,1,26,11000,45,23096
1024,1,27,10875,45,23096
1024,1,28,11542,45,23096
1024,1,29,19792,45,23096
1024,1,30,12333,45,23096
1024,8,0,71958,339,181072
1024,8,1,45875,339,181072
1024,8,2,45833,339,181072
1024,8,3,44208,339,181072
1024,8,4,49416,339,181072
1024,8,5,52959,339,181072
1024,8,6,39042,339,181072
1024,8,7,46208,339,181072
1024,8,8,45166,339,181072
1024,8,9,43500,339,181072
1024,8,10,40542,339,181072
1024,8,11,47416,339,181072
1024,8,12,39750,339,181072
1024,8,13,42792,339,181072
1024,8,14,51584,339,181072
1024,8,15,42875,339,181072
1024,8,16,45167,339,181072
1024,8,17,75750,339,181072
1024,8,18,110750,339,181072
1024,8,19,72167,339,181072
1024,8,20,40542,339,181072
1024,8,21,48500,339,181072
1024,8,22,47291,339,181072
1024,8,23,44167,339,181072
1024,8,24,44500,339,181072
1024,8,25,42875,339,181072
1024,8,26,46542,339,181072
1024,8,27,54792,339,181072
1024,8,28,50375,339,181072
1024,8,29,46417,339,181072
1024,8,30,41125,339,181072
