revisions,channels,sample,elapsed_ns,alloc_calls,alloc_bytes
16,1,0,26375,52,8568
16,1,1,22833,52,8568
16,1,2,15166,52,8568
16,1,3,12792,52,8568
16,1,4,13375,52,8568
16,1,5,10416,52,8568
16,1,6,16958,52,8568
16,1,7,11917,52,8568
16,1,8,10208,52,8568
16,1,9,15583,52,8568
16,1,10,15375,52,8568
16,1,11,12875,52,8568
16,1,12,13084,52,8568
16,1,13,13083,52,8568
16,1,14,14708,52,8568
16,1,15,24542,52,8568
16,1,16,13292,52,8568
16,1,17,10917,52,8568
16,1,18,11917,52,8568
16,1,19,12583,52,8568
16,1,20,11542,52,8568
16,1,21,22167,52,8568
16,1,22,13458,52,8568
16,1,23,12209,52,8568
16,1,24,16250,52,8568
16,1,25,11167,52,8568
16,1,26,17958,52,8568
16,1,27,11333,52,8568
16,1,28,11375,52,8568
16,1,29,12000,52,8568
16,1,30,13292,52,8568
16,8,0,46334,395,64848
16,8,1,46500,395,64848
16,8,2,42208,395,64848
16,8,3,35667,395,64848
16,8,4,51541,395,64848
16,8,5,50375,395,64848
16,8,6,48084,395,64848
16,8,7,39500,395,64848
16,8,8,39250,395,64848
16,8,9,39750,395,64848
16,8,10,48042,395,64848
16,8,11,46333,395,64848
16,8,12,39833,395,64848
16,8,13,40584,395,64848
16,8,14,44833,395,64848
16,8,15,40292,395,64848
16,8,16,38833,395,64848
16,8,17,40792,395,64848
16,8,18,40500,395,64848
16,8,19,44250,395,64848
16,8,20,37292,395,64848
16,8,21,37459,395,64848
16,8,22,36083,395,64848
16,8,23,34750,395,64848
16,8,24,43541,395,64848
16,8,25,36125,395,64848
16,8,26,45042,395,64848
16,8,27,39334,395,64848
16,8,28,49667,395,64848
16,8,29,45416,395,64848
16,8,30,44708,395,64848
128,1,0,34833,58,22056
128,1,1,18125,58,22056
128,1,2,17375,58,22056
128,1,3,18833,58,22056
128,1,4,25000,58,22056
128,1,5,21500,58,22056
128,1,6,24208,58,22056
128,1,7,20333,58,22056
128,1,8,16000,58,22056
128,1,9,16042,58,22056
128,1,10,16000,58,22056
128,1,11,18000,58,22056
128,1,12,18875,58,22056
128,1,13,17916,58,22056
128,1,14,20708,58,22056
128,1,15,25959,58,22056
128,1,16,18750,58,22056
128,1,17,20084,58,22056
128,1,18,25958,58,22056
128,1,19,21125,58,22056
128,1,20,16125,58,22056
128,1,21,19208,58,22056
128,1,22,20750,58,22056
128,1,23,22708,58,22056
128,1,24,16041,58,22056
128,1,25,18000,58,22056
128,1,26,19292,58,22056
128,1,27,18500,58,22056
128,1,28,19042,58,22056
128,1,29,18625,58,22056
128,1,30,14500,58,22056
128,8,0,121750,443,172752
128,8,1,120958,443,172752
128,8,2,104792,443,172752
128,8,3,102209,443,172752
128,8,4,106791,443,172752
128,8,5,105834,443,172752
128,8,6,97667,443,172752
128,8,7,106334,443,172752
128,8,8,109000,443,172752
128,8,9,117959,443,172752
128,8,10,96833,443,172752
128,8,11,118375,443,172752
128,8,12,117458,443,172752
128,8,13,94292,443,172752
128,8,14,100500,443,172752
128,8,15,109750,443,172752
128,8,16,96625,443,172752
128,8,17,98125,443,172752
128,8,18,96333,443,172752
128,8,19,94916,443,172752
128,8,20,95666,443,172752
128,8,21,91292,443,172752
128,8,22,99875,443,172752
128,8,23,100250,443,172752
128,8,24,98459,443,172752
128,8,25,98417,443,172752
128,8,26,92083,443,172752
128,8,27,135917,443,172752
128,8,28,241667,443,172752
128,8,29,123583,443,172752
128,8,30,117541,443,172752
1024,1,0,95291,64,129624
1024,1,1,89375,64,129624
1024,1,2,84666,64,129624
1024,1,3,88042,64,129624
1024,1,4,82625,64,129624
1024,1,5,92125,64,129624
1024,1,6,86792,64,129624
1024,1,7,88125,64,129624
1024,1,8,84917,64,129624
1024,1,9,89542,64,129624
1024,1,10,88500,64,129624
1024,1,11,94709,64,129624
1024,1,12,92542,64,129624
1024,1,13,87750,64,129624
1024,1,14,88209,64,129624
1024,1,15,90417,64,129624
1024,1,16,90167,64,129624
1024,1,17,91917,64,129624
1024,1,18,90625,64,129624
1024,1,19,88208,64,129624
1024,1,20,89416,64,129624
1024,1,21,92958,64,129624
1024,1,22,88500,64,129624
1024,1,23,85958,64,129624
1024,1,24,87625,64,129624
1024,1,25,93083,64,129624
1024,1,26,89667,64,129624
1024,1,27,95250,64,129624
1024,1,28,86916,64,129624
1024,1,29,81875,64,129624
1024,1,30,85292,64,129624
1024,8,0,990959,491,1033296
1024,8,1,975958,491,1033296
1024,8,2,949708,491,1033296
1024,8,3,980417,491,1033296
1024,8,4,921416,491,1033296
1024,8,5,992208,491,1033296
1024,8,6,997875,491,1033296
1024,8,7,973041,491,1033296
1024,8,8,1047292,491,1033296
1024,8,9,1094875,491,1033296
1024,8,10,1077166,491,1033296
1024,8,11,1065291,491,1033296
1024,8,12,1041500,491,1033296
1024,8,13,1272875,491,1033296
1024,8,14,1035291,491,1033296
1024,8,15,1947834,491,1033296
1024,8,16,977750,491,1033296
1024,8,17,1016125,491,1033296
1024,8,18,1065667,491,1033296
1024,8,19,1116042,491,1033296
1024,8,20,1712750,491,1033296
1024,8,21,1530709,491,1033296
1024,8,22,1038458,491,1033296
1024,8,23,1358125,491,1033296
1024,8,24,1022792,491,1033296
1024,8,25,1019375,491,1033296
1024,8,26,911959,491,1033296
1024,8,27,916458,491,1033296
1024,8,28,929125,491,1033296
1024,8,29,926333,491,1033296
1024,8,30,928166,491,1033296
